disease_id,phase,time_range,substrate,disease_severity_class,mechanism,organ_pages_to_link,evidence_anchors,B_cells,naive_B_cells,memory_B_cells,plasma_cells,CD4_T_cells,CD8_T_cells,naive_CD4_T_cells,naive_CD8_T_cells,memory_CD4_T_cells,memory_CD8_T_cells,memory_T_cells_pooled,regulatory_T_cells,NK_cells,neutrophils,eosinophils,basophils,granulocytes_pooled,monocytes,macrophages_peripheral,microglia,kupffer_cells,pulmonary_macrophages,oral_macrophages,dendritic_cells,IC_immune_pooled,leukocyte_pooled,PBMC,MPP,L_MPP,CMP,GMP,MEP,erythroblast,erythroid_progenitor,nRBC,megakaryocyte,OPC,NeuIm,HSPC_pooled,cortical_neurons,neurons_pooled,oligodendrocytes,cardiomyocytes,left_atrium,kera_diff,epi_upper,NeuMa,brain_pooled,skeletal_muscle,glia,astrocytes,breast_ductal,breast_lobular,breast_secretory_pooled,breast_LE,breast_BE,liver_hepatocytes,liver_bile_duct,cholangiocytes,pancreatic_beta_cells,pancreatic_acinar_cells,pancreatic_duct_cells,pancreatic_endocrine_pooled,pancreatic_exocrine_pooled,prostate_LE,prostate_BE,prostate_Fib,prostate_EC,prostate_SM,prostate_Leu,gastric_differentiated,gastric_antrum_diff,gastric_corpus_diff,gastric_fundus_diff,thyroid,esophageal_glandular,skin_melanocytes,head_neck_larynx_secretory,salivary,gastric_undifferentiated,gastric_antrum_undiff,gastric_corpus_undiff,gastric_fundus_undiff,colon_epithelial,small_intestine,rectal_epithelium,eso_basal,eso_epi_basal,eso_epi_stratified,eso_epi_suprabasal,lung_epithelial,lung_airway,kidney_epithelial,bladder_epithelial,bladder_loyfer_bulk,cervix_uterine,prostate_basal_cycling,breast_basal_cycling,skin_keratinocytes,pancreatic_ductal_cycling,head_neck_larynx,epithelial_cycling_pooled,fibroblasts,endothelial_cells,vascular_endothelial,adipocytes,smooth_muscle,cardiac_fibroblasts,cardiac_endothelial,cardiac_smooth_muscle,cardiac_stromal_pooled,pancreatic_stellate,hepatic_stellate,brain_astrocytes,osteoblasts,BMSC,placenta,mammary_stromal,stromal_pooled,HSC,stem_pluri,class_mean_secretory,class_mean_immune,class_mean_progenitor,class_mean_cycling,class_mean_terminal,class_mean_stromal,class_mean_stem_adult,class_mean_stem_pluri
breast_cancer,long_pre_dx,>10 years before clinical diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive_distributed_multi_tile,secretory:breast_secretory,"VAL-046 (Sister Study), VAL-047 Phase 9 d=+1.78 immune, VAL-047 Phase 4 secretory_variance d=-1.226 audit, VAL-049 cross-population, VAL-093 Loyfer 25-tile distributed, VAL-094 BreastRef sub-celltype, VAL-095 UniLIFE 19-cell, VAL-096 dual-cohort | TODO 1.1 / CPG-VAL-001 v0.2 sharpening 2026-05-29 (per-cell-type top-10: Baso d=+1.58/+1.01, Plasma +1.26/+0.81, Microglia +1.30/+0.71, Mela +1.30/+0.72, NeuMa +1.27/+0.73, neurons_pooled +1.20/+0.78, smooth_muscle +1.19/+0.78, breast_BE +1.28/+0.61 TISSUE OF ORIGIN, endothelial +1.27/+0.60) | TODO 1.2 / CPG-VAL-002 (Mahalanobis hyper-volume d=+1.871/+2.088 95% CI [+1.014,+2.856]/[+1.502,+2.735] beats Xu-538 by +0.752 on GSE51032) | TODO 1.3 / CPG-VAL-003 (per-CpG residual map: 1,392 concordant CpGs across cohorts, 1,173 hypomethylated vs 219 hypermethylated 5.4:1, 1,389 NEW candidates not in Xu-538) | TODO 1.5 / CPG-VAL-005 (PC2 T-cell SUPPRESSION axis d=-0.67/-0.58 replicating across cohorts) | CPG-VAL-007 age-axis subtraction confirms signal robustness on this stratum (Mahalanobis +0.255 on GSE51032) | [v1_11: 29 cells re-scored to VAL-093 ttd 4-window trajectory (115-cell A-score, pooled 146 cases/601 controls); same cells across all windows; prior v1_10 values in version history; CD4/CD8 PC2 suppression-axis -0.58/-0.67(>10yr) preserved as complementary reading; Stage1_Xu538 kept as own panel]",0.57,0.99,0.72,1.25,0.35,0.38,0.49,0.47,0.54,0.49,0.52,0.85,0.48,-0.01,0.81,1.57,0.06,0.47,1.02,1.37,1.23,1.01,1.01,1.13,1.04,1.14,1.3,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.36,0.78,1.1,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,1.28,,,,1.09,0.84,1.27,0.99,1.07,1.3,0.64,-0.12
breast_cancer,mid_pre_dx,5-10 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive_attenuating,secretory:breast_secretory,"VAL-047 Phase 9 sec_A_SD d=−0.657, VAL-093/096 dual-cohort persistent multi-tile | [v1_11: 29 cells re-scored to VAL-093 ttd 4-window trajectory (115-cell A-score, pooled 146 cases/601 controls); same cells across all windows; prior v1_10 values in version history; CD4/CD8 PC2 suppression-axis -0.58/-0.67(>10yr) preserved as complementary reading; Stage1_Xu538 kept as own panel]",0.21,0.4,0.16,0.68,0.26,0.27,0.32,0.37,0.27,0.18,0.22,0.36,0.1,0.26,0.38,0.49,0.27,0.23,0.62,0.63,0.47,0.57,0.57,0.81,0.57,0.71,0.52,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.21,0.39,0.61,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,0.76,,,,0.48,0.37,0.57,0.5,0.49,0.7,0.27,-0.18
breast_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive_attenuating,secretory:breast_secretory,"VAL-046 Sister Study cohort-level signal, VAL-047 Phase 9, VAL-093/096 | [v1_11: 29 cells re-scored to VAL-093 ttd 4-window trajectory (115-cell A-score, pooled 146 cases/601 controls); same cells across all windows; prior v1_10 values in version history; CD4/CD8 PC2 suppression-axis -0.58/-0.67(>10yr) preserved as complementary reading; Stage1_Xu538 kept as own panel]",0.25,0.31,0.39,0.64,-0.13,-0.1,-0.16,-0.12,-0.04,0.08,0.02,-0.01,0.09,-0.12,0.13,0.2,-0.07,0.27,0.5,0.55,0.69,0.41,0.41,0.74,0.67,0.56,0.76,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.33,0.38,0.49,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,0.62,,,,0.57,0.22,0.45,0.65,0.53,0.61,0.12,0.05
breast_cancer,near_dx,within 2 years before diagnosis (Phase 1→Phase 2 transition),whole_blood_buffy_coat,PRE_DIAGNOSTIC,compartment_transition_immune_tiles_sign_flip,secretory:breast_secretory,"VAL-095 UniLIFE aBnv d=+0.44/+0.49, VAL-096 immune-tile sign-flip dual cohort, VAL-093 breast tile localizing | [v1_11: 29 cells re-scored to VAL-093 ttd 4-window trajectory (115-cell A-score, pooled 146 cases/601 controls); same cells across all windows; prior v1_10 values in version history; CD4/CD8 PC2 suppression-axis -0.58/-0.67(>10yr) preserved as complementary reading; Stage1_Xu538 kept as own panel]",0.15,0.09,-0.14,0.13,0.21,0.25,0.18,0.2,0.18,0.15,0.17,0.12,0.16,-0.32,-0.11,-0.3,-0.1,-0.32,0.12,0.07,0.05,-0.11,-0.11,0.61,0.2,-0.15,0.24,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.52,0.27,0.12,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,0.05,,,,0.39,0.18,0.14,0.4,0.18,-0.01,-0.2,-0.2
breast_cancer,tumor_tissue,TCGA-BRCA paired n=86,tumor_tissue_paired,ACTIVE_TUMOR,pooled_positive_secretory_class,secretory:breast_secretory,VAL-060 TCGA-BRCA paired d=+0.6755 p=0.0001,,,,,+0.5/+1.0,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.6755,,+0.6755,+0.5/+0.8,+0.4/+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colorectal_cancer,long_pre_dx,>10 years before diagnosis (GSE51032 EPIC-Italy),whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_negative_inversion,cycling:colon,"GSE51032 colorectal Phase 9 d=−0.80; VAL-047 Phase 12 cross-cohort | [v1_11: re-scored to EPIC colon (c18) ttd 4-window trajectory, 115-cell A-score, n/window 24/58/44/13 vs 601 ctrl; class-means added; same cells across windows; prior placeholders in version history]",-0.52,-0.57,-0.21,-0.76,-0.73,-0.73,-0.89,-0.87,-0.77,-0.41,-0.59,-0.75,-0.3,0.05,-0.57,-0.15,-0.27,-0.25,-0.72,-0.81,-0.64,-0.71,-0.71,-0.71,-0.52,-0.42,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,-0.81,-0.64,-0.6,-0.76,-0.49,0.11,-0.06
colorectal_cancer,mid_pre_dx,5-10 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_negative_inversion,cycling:colon,"GSE51032 d=−0.49 | [v1_11: re-scored to EPIC colon (c18) ttd 4-window trajectory, 115-cell A-score, n/window 24/58/44/13 vs 601 ctrl; class-means added; same cells across windows; prior placeholders in version history]",-0.26,-0.27,-0.15,-0.27,-0.22,-0.2,-0.36,-0.34,-0.24,0.11,-0.06,-0.25,0.12,0.1,-0.2,-0.19,-0.01,-0.01,-0.19,-0.34,-0.21,-0.17,-0.17,-0.23,-0.18,-0.13,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.19,-0.17,-0.07,-0.1,-0.13,0.14,-0.13
colorectal_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_negative_inversion,cycling:colon,"GSE51032 d=−0.45; VAL-047 Phase 12 d=-0.33 | [v1_11: re-scored to EPIC colon (c18) ttd 4-window trajectory, 115-cell A-score, n/window 24/58/44/13 vs 601 ctrl; class-means added; same cells across windows; prior placeholders in version history]",-0.11,-0.2,0.06,-0.13,-0.04,-0.03,-0.11,-0.1,-0.07,0.05,-0.01,-0.09,0.08,0.12,-0.18,-0.11,0.03,0.07,-0.19,-0.36,-0.03,-0.19,-0.19,-0.19,-0.12,-0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,-0.11,-0.04,-0.03,-0.12,-0.07,0.35,-0.02
colorectal_cancer,near_dx,within 2 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_negative_inversion,cycling:colon,"GSE51032 d=−0.41 at 0-2yr | [v1_11: re-scored to EPIC colon (c18) ttd 4-window trajectory, 115-cell A-score, n/window 24/58/44/13 vs 601 ctrl; class-means added; same cells across windows; prior placeholders in version history]",0.04,0.01,0.21,0.2,-0.01,0.04,-0.13,-0.1,0.06,0.31,0.18,0.07,0.23,0.46,0.01,-0.2,0.29,0.3,0.08,-0.04,0.35,0.06,0.06,0.12,0.02,0.28,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.12,0.23,0.32,0.19,0.21,0.39,-0.37
colorectal_cancer,tumor_tissue,TCGA-COAD/READ paired,tumor_tissue_paired,ACTIVE_TUMOR,compartment_flip_CCL019_plus_cell_of_origin_CCL039,cycling:colon,"VAL-061 TIL d=+1.07; VAL-062 cycling-class d=+0.7241; VAL-098 TCGA-READ rectal d=+0.612, Colon_epithelial d=−2.50; VAL-099 reproduction Colon_epithelial d=−1.603",+0.5/+1.0,,,,+1.07,+1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.603,,+0.612,,,,,,,,,,,,,,,,+0.7241,,,,,,,,,,,,,,,,,,,,,,,,,,,
